gene_id	gene_name	3_2_L3	3_4_L3	3_7_L3	P1_L3	P2_L3	P3_L3
ENSG00000000005.6	TNMD	0	0	0	0	0	0
ENSG00000000938.13	FGR	0	0	1	0	0	0
ENSG00000001561.7	ENPP4	128	41	58	91	82	98
ENSG00000001626.18	CFTR	0	1	0	25	24	17
ENSG00000002586.20_PAR_Y	CD99	0	0	0	0	0	0
ENSG00000002587.10	HS3ST1	0	0	4	45	60	22
ENSG00000002726.21	AOC1	0	0	0	0	0	0
ENSG00000002745.13	WNT16	1	0	6	0	1	1
ENSG00000002933.9	TMEM176A	0	1	0	0	0	0
ENSG00000003096.15	KLHL13	76	24	11	113	120	123
ENSG00000003147.19	ICA1	42	116	131	37	47	37
ENSG00000003989.18	SLC7A2	158	89	63	492	488	387
ENSG00000004809.14	SLC22A16	0	0	0	0	0	0
ENSG00000004846.17	ABCB5	0	0	0	0	0	0
ENSG00000004848.8	ARX	2	4	0	20	28	21
ENSG00000004939.16	SLC4A1	0	0	0	0	0	0
ENSG00000004948.16	CALCR	0	0	0	0	0	0
ENSG00000005001.10	PRSS22	4	4	0	5	10	6
ENSG00000005102.14	MEOX1	0	0	0	0	0	0
ENSG00000005381.9	MPO	0	0	0	0	0	0
ENSG00000005421.9	PON1	4	21	7	46	30	24
ENSG00000005513.10	SOX8	1	2	0	0	2	0
ENSG00000005844.19	ITGAL	1	3	3	25	48	18
ENSG00000005961.19	ITGA2B	125	46	41	152	132	165
ENSG00000005981.13	ASB4	3	45	85	123	158	130
ENSG00000006047.13	YBX2	1	9	7	30	19	30
ENSG00000006059.4	KRT33A	0	0	0	0	0	0
ENSG00000006071.16	ABCC8	160	45	73	79	53	61
ENSG00000006116.4	CACNG3	0	0	0	0	0	0
ENSG00000006128.12	TAC1	0	0	0	0	0	0
ENSG00000006210.7	CX3CL1	3	1	0	26	32	34
ENSG00000006377.11	DLX6	0	0	1	0	0	0
ENSG00000006459.11	KDM7A	196	173	130	374	270	341
ENSG00000006468.15	ETV1	197	12	658	272	330	282
ENSG00000006555.11	TTC22	0	0	0	0	0	0
ENSG00000006611.17	USH1C	11	2	6	159	140	100
ENSG00000006638.13	TBXA2R	18	9	37	8	23	21
ENSG00000006659.13	LGALS14	0	0	0	0	0	0
ENSG00000006747.15	SCIN	24	6	14	12	7	9
ENSG00000006788.14	MYH13	0	0	0	0	0	0
ENSG00000007001.13	UPP2	1	0	1	0	1	1
ENSG00000007038.11	PRSS21	0	0	0	2	3	2
ENSG00000007062.12	PROM1	2	5	0	0	2	2
ENSG00000007129.18	CEACAM21	0	0	0	0	0	0
ENSG00000007171.19	NOS2	19	0	5	12	14	3
ENSG00000007237.19	GAS7	114	2	1	57	49	57
ENSG00000007264.15	MATK	18	3	9	1	6	4
ENSG00000007306.15	CEACAM7	0	0	0	1	0	0
ENSG00000007312.14	CD79B	0	0	0	0	0	0
ENSG00000007314.12	SCN4A	2	5	8	1	1	3
ENSG00000007350.17	TKTL1	0	0	0	0	0	0
ENSG00000007933.13	FMO3	0	0	1	0	0	0
ENSG00000007952.18	NOX1	23	12	7	23	32	42
ENSG00000008118.10	CAMK1G	1	1	0	1	0	0
ENSG00000008196.13	TFAP2B	0	0	0	0	0	0
ENSG00000008197.5	TFAP2D	0	0	0	0	0	0
ENSG00000008311.16	AASS	7	10	183	12	22	15
ENSG00000009709.12	PAX7	1	1	0	17	10	8
ENSG00000009765.15	IYD	0	0	0	2	0	1
ENSG00000009950.16	MLXIPL	11	2	15	103	89	84
ENSG00000010318.22	PHF7	111	107	134	136	99	121
ENSG00000010319.7	SEMA3G	4	37	31	28	10	16
ENSG00000010818.11	HIVEP2	1029	1122	693	925	905	930
ENSG00000010932.17	FMO1	6	0	1	0	0	1
ENSG00000011201.12	ANOS1	5	0	1	8	0	4
ENSG00000011347.10	SYT7	9	41	21	96	56	58
ENSG00000011465.18	DCN	0	0	4	0	0	0
ENSG00000011590.14	ZBTB32	14	15	5	9	16	37
ENSG00000011600.12	TYROBP	0	0	0	0	0	0
ENSG00000011677.13	GABRA3	259	0	0	30	13	40
ENSG00000012124.17	CD22	16	53	24	3	1	0
ENSG00000012223.13	LTF	0	0	0	0	0	0
ENSG00000012504.15	NR1H4	9	4	0	8	21	14
ENSG00000012779.12	ALOX5	3	1	0	0	1	0
ENSG00000013725.14	CD6	7	8	0	0	0	2
ENSG00000014257.17	ACP3	0	0	0	0	1	0
ENSG00000015133.20	CCDC88C	660	575	306	631	711	714
ENSG00000015285.12	WAS	4	2	0	1	7	0
ENSG00000015413.10	DPEP1	8	4	2	39	26	24
ENSG00000015592.17	STMN4	0	0	0	0	0	0
ENSG00000016082.15	ISL1	0	2	4	0	1	0
ENSG00000016402.14	IL20RA	5	0	0	0	0	1
ENSG00000016490.16	CLCA1	0	0	0	0	0	0
ENSG00000017483.16	SLC38A5	14	21	22	13	5	12
ENSG00000018280.17	SLC11A1	21	18	38	13	22	18
ENSG00000018607.9	ZNF285CP	0	0	0	4	0	0
ENSG00000018625.15	ATP1A2	16	2	48	5	5	6
ENSG00000019102.12	VSIG2	0	41	32	7	9	14
ENSG00000019169.11	MARCO	13	0	3	0	3	0
ENSG00000019582.17	CD74	17	27	31	6	23	11
ENSG00000019991.18	HGF	0	0	0	11	10	3
ENSG00000020219.9	CCT8L1P	0	0	0	0	0	0
ENSG00000021300.14	PLEKHB1	79	0	24	60	53	65
ENSG00000021461.18	CYP3A43	0	0	0	0	0	0
ENSG00000021645.20	NRXN3	312	3	18	68	64	61
ENSG00000022355.18	GABRA1	0	0	0	0	0	0
ENSG00000023892.12	DEF6	1	5	0	0	4	0
ENSG00000025039.15	RRAGD	82	46	6	100	97	116
ENSG00000027644.5	INSRR	5	0	0	0	0	0
ENSG00000027869.12	SH2D2A	40	109	72	51	43	48
ENSG00000028137.19	TNFRSF1B	16	5	19	22	9	19
ENSG00000029559.7	IBSP	0	0	1	0	0	0
ENSG00000030304.15	MUSK	0	5	6	0	4	0
ENSG00000030419.17	IKZF2	90	31	27	29	12	16
ENSG00000034239.11	CLXN	13	16	40	3	0	1
ENSG00000034971.17	MYOC	0	0	0	0	0	0
ENSG00000035720.8	STAP1	0	1	0	0	0	0
ENSG00000036530.9	CYP46A1	10	16	3	8	4	4
ENSG00000036565.15	SLC18A1	0	0	0	0	0	0
ENSG00000036828.17	CASR	0	0	0	0	0	0
ENSG00000037280.16	FLT4	140	133	36	197	249	239
ENSG00000038295.8	TLL1	32	1	5	10	5	4
ENSG00000038945.15	MSR1	0	0	0	4	1	0
ENSG00000039537.15	C6	1	0	0	0	0	0
ENSG00000039600.11	SOX30	0	2	6	0	1	5
ENSG00000039987.7	BEST2	0	1	0	0	0	0
ENSG00000040608.14	RTN4R	48	32	14	57	117	94
ENSG00000040731.10	CDH10	70	3	66	34	13	19
ENSG00000042062.13	RIPOR3	3	3	17	0	6	10
ENSG00000042304.14	C2orf83	2	0	1	0	1	1
ENSG00000042781.14	USH2A	9	1	6	4	2	0
ENSG00000042813.8	ZPBP	0	0	0	0	0	0
ENSG00000042832.12	TG	40	16	34	10	11	10
ENSG00000042980.14	ADAM28	10	0	2	12	7	11
ENSG00000043039.7	BARX2	0	0	0	0	0	0
ENSG00000043462.13	LCP2	0	1	0	0	0	0
ENSG00000043591.6	ADRB1	22	33	30	65	92	83
ENSG00000044012.4	GUCA2B	0	0	0	1	0	0
ENSG00000044524.11	EPHA3	0	0	0	0	0	0
ENSG00000046774.10	MAGEC2	0	0	0	0	0	0
ENSG00000046889.19	PREX2	0	0	0	0	0	0
ENSG00000047365.13	ARAP2	8	2	70	65	30	65
ENSG00000047617.17	ANO2	0	0	0	0	0	0
ENSG00000048052.24	HDAC9	20	6	28	10	6	9
ENSG00000048740.19	CELF2	0	3	1	0	0	0
ENSG00000049089.15	COL9A2	6	5	28	12	21	11
ENSG00000049246.15	PER3	241	143	156	192	281	207
ENSG00000049247.14	UTS2	5	0	1	0	0	0
ENSG00000049540.19	ELN	5	3	2	21	3	6
ENSG00000050030.16	NEXMIF	1	5	0	5	0	0
ENSG00000050327.15	ARHGEF5	2	95	143	161	130	155
ENSG00000050555.19	LAMC3	165	92	15	224	218	230
ENSG00000050628.21	PTGER3	0	0	0	0	0	0
ENSG00000050730.16	TNIP3	88	68	102	55	55	61
ENSG00000050767.18	COL23A1	0	4	0	0	0	0
ENSG00000052344.16	PRSS8	11	0	0	5	6	14
ENSG00000053108.17	FSTL4	4	21	10	118	122	79
ENSG00000053918.18	KCNQ1	1	2	0	1	7	1
ENSG00000054179.12	ENTPD2	1	1	0	98	53	57
ENSG00000054356.14	PTPRN	297	357	0	26	32	26
ENSG00000054796.13	SPO11	0	0	0	0	0	0
ENSG00000054803.4	CBLN4	0	0	0	0	0	0
ENSG00000055118.17	KCNH2	6	1	2	28	28	22
ENSG00000055609.21	KMT2C	1278	1587	1852	2025	1771	1816
ENSG00000055732.13	MCOLN3	349	152	2	207	242	291
ENSG00000055813.6	CCDC85A	36	3	0	5	0	3
ENSG00000055957.11	ITIH1	0	0	0	0	0	0
ENSG00000056291.19	NPFFR2	0	0	0	0	0	0
ENSG00000056487.16	PHF21B	11	8	2	26	23	40
ENSG00000057149.16	SERPINB3	0	0	0	0	0	0
ENSG00000057294.17	PKP2	359	11	421	482	513	561
ENSG00000057468.7	MSH4	9	4	4	2	0	3
ENSG00000057593.14	F7	0	2	0	29	35	14
ENSG00000057704.13	TMCC3	28	0	12	26	22	16
ENSG00000058335.16	RASGRF1	3	21	31	19	14	9
ENSG00000060140.9	STYK1	78	53	168	34	48	22
ENSG00000060303.5	RPS17P5	0	0	0	0	0	0
ENSG00000060558.4	GNA15	4	6	6	0	0	7
ENSG00000060566.14	CREB3L3	2	0	6	1	2	0
ENSG00000060642.12	PIGV	670	653	658	540	573	545
ENSG00000060709.16	RIMBP2	0	6	0	0	0	0
ENSG00000061337.15	LZTS1	2	10	0	8	1	3
ENSG00000061455.11	PRDM6	9	12	6	6	9	8
ENSG00000061492.12	WNT8A	0	0	0	0	0	0
ENSG00000061656.11	SPAG4	226	184	376	182	142	197
ENSG00000061918.14	GUCY1B1	19	2	14	1	6	8
ENSG00000062038.15	CDH3	10	0	1	6	10	6
ENSG00000062096.15	ARSF	0	0	0	0	0	0
ENSG00000062524.16	LTK	16	4	1	10	6	3
